score,title,time,review
9,Surprisingly Entertaining Illumination Flick,3 August 2016,"Ever since the release of Despicable Me back in 2010, Illumination has really stepped up from their previous animated movies. Whether it be the aforementioned film, its sequel, its spin-off Minions, or the 2012 adaptation of Dr. Seuss' The Lorax, it was quite a change with their latest entry The Secret Life of Pets.The plot centers around Max (Louis C.K.), a terrier living happily with his loving owner Katie (Ellie Kemper) in New York City, but when she adopts a bigger dog named Duke (Eric Stonestreet) to live with them, Max is overwhelmed by his new roommate. The two opposing dogs must then work together however, before Katie gets back when they are lost in the big city.For an original story done by Illumination, it does creatively borrow off the concepts of both Toy Story as well as the 2008 film Bolt, yet it flows out well with the voice cast bringing these characters to life which include stand-up comic Louis C.K. voicing the leading dog Max, Jenny Slate (Saturday Night Live, Zootopia) as Max's potential love interest Gidget, and 'Modern Family' star Eric Stonestreet as Duke. With quick-witted, slapstick humor that feels reminiscent of Looney Tunes (even with a tendency to adlib lines in some scenes), the real scene stealer among this talented cast goes to comedian Kevin Hart voicing adorable, yet antagonistic rabbit Snowball.While the littler ones will be kept engaged and entertained by the humorous animal characters as well as the obstacles they come across, to me personally the story feels rushed, especially the need for a little more emotional depth and better character development. I know there's a lot more to offer in this story's universe, so a sequel can't be far behind from this underrated animated flick. Nevertheless, it certainly kept me laughing nearly throughout the movie's 90-minute run time and it's something that shouldn't be taken for granted. I enjoyed it."
7,A good mix between toy story and bolt,18 June 2016,"A great film with good humour and likable characters If your going to watch this film, watch it for the rabbit Kevin Hart kills it as the over the top villain The soundtrack is also very good, it fits the film well Lenord takes your stereotypical views of poodles and flips it the other way The constant fight between cats and dogs is funny And, I won't spoil it but there is an awesome fight scene at the end There are classic animation sad moments The plot is also good it starts of like toy story with a new dog coming home from the pound and the original and the new dogs do not agree to say the least. The two end up fighting and get caught by the pest control in the process due to a gang of cats. The get broken out by a bunny rabbit and his goons (a pig and a lizard) and briefly become friends until the rabbit finds out the two dogs have an owner. Then they go on the run with the rabbit and his gang close behind. Meanwhile gidget and the rest of the pets in the block realise max is gone and try to find him. With the help of an old dog and a birds they get to max and duke just in time to stop the gang from killing them both. Before this max found out that duke had an owner before Katie, and when they realise they are near his old house so the try's to get duke confront his old owner when they get there they find out that a new family live there and duke old owner has died. Then duke gets caught by pet control again (who have also been after the two) , also caught are snowballs friends the pig and lizard so max and him Join forces to take down the pet control, which they do, but push the van off the edge of the Brooklyn bridge in the process. The pig and the lizard escape. It takes a little while to save duke but they do in the end. And they all go home No seriously, the bunny rabbit It is mind blowing Also to answer the question of someone in the message board, there is a Guini pig"
10,"Well written, enjoyable movie",10 July 2016,"I was thoroughly entertained by this movie. The writing was excellent, made my wife, youngest son, and myself constantly laugh, which isn't always easy for all 3 of us, simultaneously. The character development for these characters was interesting, as we were shown many facets of their psyche, which made it even more entertaining. I was waiting for the spot in the movie that would make me roll my eyes, as I find in most animated movies I have previously viewed, but it never happened. The adding of the little Minions vignette was hilarious to me, but not my family, which is fine, especially since I haven't seen either one of the Despicable movies, nor the Minion movie. A great family movie, 10 out of a 10 for me was a must...!!"
9,Fun Family film,30 July 2016,"Very fun and entertaining movie for the whole family, lots of laughs and surprises. My 3 year old (also named Chloe) actually behaved throughout the whole movie, of which she was also holding on to her stuffed Chloe Doll that she picked up earlier that afternoon. After the movie she commented that their were two Chloe's now. For a movie that didn't have a lot of media attention I am glad I took the family to see it and it was money well spent, fun for the whole family. My favorite part would have to be the one that they show in the trailers, such as when the poodle switches the music from classical to heavy metal. There I think that is ten lines."
10,The best kids movie this side of the summer,10 July 2016,"If you are looking for a movie full of dramatic moments; slow pace and sadness; that basically bore your kids but make the critics praise as a masterpiece; stop reading and go to see some PIXAR / Disney movie (like Dory or Zootopia) and watch your kids get impatient to get out of the cinema. If on the other hand; you want your kids to laugh non-stop for about 90 minutes and you enjoy with them; then do not loose one minute, get tickets for the Secret Life of Pet and start laughing on the first minute with the Minions short and keep doing it short until the very end of titles. There is some moral message about friendship, trust and love; but it will be guilty pleasure laugh and a few suspenseful moments.***SPOILER AHEAD**** Word of advice and possible spoiler; Snowball (the rabbit) is the most twisted character seen lately in movies; it can easily be part of an horror movie; but as played by Kevin Hart; it is historically funny whenever on screen. The same can be said for Gidget (played by Jenny Slate); her transition from a white sweet puppy to a dangerous and terrifying fighter is another of the top moments of the movie. ****END OF SPOILER****In brief; it will not win any Oscars; but is still the funniest movie of the summer."
10,"A great movie for kids, greatly animated, AMAZING music, great story line, FUNNY!",9 July 2016,"Amazing. The trees were all vibrant colors, the pets had amazing animation. The city itself was so detailed I wondered how long it took to make. The water flows so nicely. The jokes were hilarious, tons of kids (and adults) laughed and giggled the whole time. Although seeming very intense at times, the music flows great and goes great with the story line. This movie teaches a slight bit of friendship, and adaptation. I rate this 10/10 because I find it very understandable, laughable, and friendly. All in all, a great movie to watch with the whole family. Also, each character has its own personality which adds to the movie!"
10,"Will do for pets, what Toy Story did for toys",5 August 2016,"Well known Pets are friends in the neighborhood, until one incident separates two dogs from there owner, there friends who are also pets must band together to find them.The movie makes you realize the joy of having a pet, made me remember my dog who passed away years ago. The voice actors really do well with there characters. It's a fun adventure and misadventure also. The animation is amazing, not Toy Story amazing, but amazing. Awesome to see all kinds of animals working together. Kids and adults I believe will enjoy this. Will make really enjoy owning a pet, and what a pet means to you."
1,Steaming Pile,22 August 2016,"This movie seemed like it was written by a team of writers under the conditions that 1) they include no funny jokes; 2)put as many clichés as possible about pets, and 3) write it in less than 24 hours. It was AWFUL. Nothing made sense, none of the characters are likable, and the antagonist's plot line is DARK (at one point they ask about the details of how the main characters killed their human masters and the villain seems to take pleasure that they killed them with a blender). There's also some weirdly racist line from Kevin Hart about a raccoon lying about being the President. I've seen a lot of animated movies that are great for kids but adults can also enjoy. This is not one of them."
10,I Always Wondered What My Dog was Thinking!,2 August 2016,"Max is your ordinary terrier who loves his mistress Katie and he waits with baited breath for her return every night from work. His friends also wait for their owners, but not with the dedication Max has! Leonard, a large poodle plays rock music when his proper owner who loves classical goes to work, while Chloe a rather snobby cat pushes away her bowl of cat food when her owner goes to work. Gidget a small white dog who loves Max watches soaps while a pet bird pretends he is a fighter plane. Everything in Max's world with Katie changes when she brings home a large brown dog named Duke who steals Max's bed and food. Max wants Duke out of the picture and in the real world when the dog walker Katie hires doesn't do his job right, Max seems to get his wish. However,things turn out bad when Max along with Duke get picked up as strays and it is up to Chloe and Gidget to get them back. Chloe and Gidget hire a scavenger bird and a crazed white bunny named Snowball to get Max and Duke back. This is a very funny story about the way our pets see the world and how they see us! Max learns to love Duke even though he doesn't want to share his owner with him and both are lucky to have Katie in their lives. I recommend this movie to all pet owners!"
8,"Pets on the Run, Make for Silly, Family Fun",9 July 2016,"Kids movies continue to swarm into the theaters, and Hollywood's trailer editors have been hard at work baiting us in. With Disney owning the box office this summer, Illumination Entertainment (the creators of Despicable Me) are taking a shot at the box office run. This weekend we got The Secret Life Of Pets, a movie that has been highly anticipated since it's trailer debut from so long ago. It was indeed a very entertaining trailer, but we all know how trailers can be deceptive now don't we? So I have headed into the trenches again to report on the latest film to hit the silver screen. The GOOD  Cute/Kid Friendly  Funny  Good animationWhen you watch, or for many rewatch, the trailers you most likely saw the characters as cute, cuddly animals doing hilarious things. Good news! The trailer is accurate this time and provides the cute factor you expected (including the very scenes you saw in the trailer). All of the characters are adorable, the main ones being bouncy, fluffy, high-spirited animals that will make you want to say Awwwwww. Our design team found a way to maximize all the cute features of an animal and sell it to the families that will lead to merchandising. Even animals you wouldn't think cute (like snakes, gators, and lizards) get the cuddly personifications. Hopefully you have gathered from this, that the design is kid friendly and will have your little ones enamored. But cute is only the hook, what keeps the interest going in this film? The answer is the comedy of course. The stunts the animals pull are entertaining and the dialogue itself had me chuckling at many of the media references. Voice acting only helps sell the comedy more, especially Kevin Hart and all his high pitched screaming. Your kids though will be the ones to enjoy the comedy the most though, as it is slapstick, simplistic antics with digital pets. Running into walls, making funny faces, or going to the bathroom on the floor are just some of the things you will see that had toddlers chuckling in their seats. And a small bonus, that really shouldn't be a surprise, is that the animation is good. Illumination Entertainment certainly has their anatomy and physiology down being able to superimpose human qualities while still maintaining there animal qualities. Glad to know that our animation studios are still able to produce great works. If only they could have put that effort into the next few qualities. THE BAD  The Story  Lack of Uniqueness  Trailers showed you a lot of the movieWith the comedy and animation being the obvious focus, you have to wonder how the story fared in this movie. Unfortunatelyit didn't fare that well. Oh it's not that bad at all, but the problem is that it lacks anything memorable or emotionally driving for me. The writers crammed a lot of plots into a short 90 minutes run time, and the resulting production was a very rushed, shallow tale with little development. A split focus resulted in little emotional build-up, and there was no intriguing qualities to keep my attention on any of the cast. And the goal they were trying to achieve was very limited and didn't really set any time limit or urgency to the tale. To add more fuel to that fire, The Secret Life of Pets wasn't really that unique of a movie. We've had talking pet movies before, where anthropomorphic animals traverse a city or town that often involves a very extreme villain (think Oliver and Company or Homeward Bound). Those tales stick home because they had edge, depth, and moments that stick out in your mind. Not the case with this movie, as again there was no drive to make our pets grow, develop, or even go through much struggle at all. It doesn't have any twists to mix things up either, and therefore leaves little to spoilt. In addition, much of the movie, including a lot of the funny parts, is revealed in the three trailers out and therefore you can save yourself some major bucks by just rewatching all of the trailers. Yeah, I know that is definitely a disappointing factor. The VerdictThe Secret Life Of Pets is exactly what the trailer promises, fun, entertaining, and wildly adorable. Younger audience members, as well as those very young at heart, are the target group for this movie hands down. It has the laugh factor certainly, and the cast of characters are a motley crew that I certainly enjoyed. However, the story is very simplistic, the lack of emotional suspense, and that much of the movie is told in the trailers make this movie not the most memorable of the summer. I can't say it is worth a trip to the theater in comparison to some of the other kid movies, but it makes for a good family outing. My scores are:Animation/Comedy/Family: 7.5-8.0 Movie Overall: 7.0"
8,A fun movie with a good plot.,3 July 2016,"I enjoyed this movie more than Despicable Me. I liked the fact that there was more than one story going on at a time. At one point, there were three different stories that eventually came together.I think the jokes in the movie would be funnier for adults than children, probably because I'm a fan of Louis C.K. and his delivery. I think the eventual happy ending that concludes the movie is suited to the kids and they will come out happy they saw it.The characters aren't as compelling as Disney/Pixar characters but I think there were more jokes in this one than usual. I also don't think there were as much emotional obstacles for the characters to conquer in this one opposed to a Disney/Pixar movie. This movie was just fun almost all the way through. Even when the characters were about to die they were still making jokes. Some people might rather this type of animation.The movie was easy and fun to watch, a good movie for the kids and the adults."
9,Loved it! Completely funny and silly,1 July 2016,"I could not wait to see The Secret Life of Pets and I was not disappointed! I LOVED it! The Secret Life of Pets is an animated comedy that is both funny and sincere. It is about a dog named Max (Louis C.K.), his new brother Duke (Eric Stonestreet) and their friends. Max doesn't like Duke so he does things that he hopes will get him kicked out of the family home. One day Max comes up with an idea that he hopes will get Duke taken away. His idea backfires and causes Max and Duke to get caught and almost sent to the pound. Will Max and Duke get home? Will their friends find them and help them get home? My favorite character is Gidget (Jenny Slate) who is a white little dog who likes Max. She is very sweet and kind, but when it comes to helping her friends, she will fight anyone. This is a funny trait of Gidget's because she is a super sweet dog but she will fight to protect her loved ones.My favorite scene is when Duke and Max are in a wiener factory and there is a little song where the hot dogs come to life. Little kids might not like this scene because the singing hot dogs get eaten by Duke and Max and they eat the hot dog's heads off.Though there are many morals to this movie, the most important is ""Do not judge someone before you get to know them."" Max doesn't like Duke when he first comes, but later on he learns to appreciate him. The Secret Life of Pets is a funny cartoon about cute animals, but it may not appeal to younger audiences. There are some scenes that might be too scary for little kids. Also, Max and Duke say this to save their lives but, be forewarned they do say ""put their owner in the blender.""I recommend The Secret Life of Pets for kids ages 5 to 15 due to the scary scenes. Older audiences may like this movie if they love animals and fun cartoons. I rate this movie 5 out of 5 stars because it is entertaining and about my favorite subject...animals!Reviewed by Mia A., KIDS FIRST! Film Critic."
9,Illumination does it again!!,6 August 2016,The Secret Life of Pets (2016) is probably one of Illuminations best. Not being a huge fan of Minions (2015) I was happy that Illumination and Universal Pictures could pull off another good project just like the first Despicable Me (2010). The Secret Life of Pets (2016) is a fun lighthearted animation comedy aimed more towards younger children. One of the main characters named snowball (Kevin Hart) can be quite scary towards more sensitive younger viewers but his behavior is all comedic. It is great but not the highlight of the summer. Movies like Central Intelligence (2016) and Finding Dory (2016) took the top spots though. The movie is a bit of fun for families with younger children who want a 90 minute film with plenty of giggles and smiles. Louis C.K plays Max the main protagonist and Eric Stonestreet plays Duke the co-protagonist. All in all The Secret Life of Pets gives viewers a fun and energetic movie.
8,Very silly but enjoyable,13 July 2016,Animated film that takes place in NYC. Two dogs named Max (voiced by Louis C.K.) and Duke (voiced by Eric Stonestreet) get separated from their owner when out for a walk. The film chronicles their journey back home.This is clearly aimed at kids but has plenty of humor that adults will enjoy. I'm in my 50s and laughed long and loud at some of the antics. The script is good and moves quickly. I was never bored. With one exception the voices perfectly fit the characters. The one exception was Snowball. He's a psychotic rabbit voiced by Kevin Hart. Hart can be funny but not here. He YELLS every word out at the audience. It gets annoying quick. The animation is great--very fluid and pleasing to the eye. The backdrops of NYC are breath-taking. The only real debit is there are some glaring lapses in logic but it IS a kids film. Recommended.
