score,title,time,review
3,"""Finding Dory""-boring, commercial, crass and totally unbelievable.",26 June 2016,"Movies today are very commercial, we all know this. I've been going to animated type films with my granddaughter for many years and God bless, she always says she loves them all.And so she did with Finding Dory but I was disgusted the entire movie.First, we did see it in 3D, something I seldom do because I don't see the benefit of the extra money. But in the case of THIS movie, it is the one good thing I could say about it. This movie, under the sea, the marine life, the beautiful color, was gorgeous in 3D.Now let's discuss the very, very stupid plot of this movie.We begin by asserting that we do understand that giving animals human like traits is very common and I don't have a problem with this. It's part of the joy of watching, adds to the understanding, gives a depth to the plot.But come on people, a fish with a short term memory problem? That's a rare thing even in humans for goodness sake, much less a fish with a brain smaller than a pea.It's just too much to buy into is my complaint, that a fish manages to go through life forgetting everything is just learned because of this brain anomaly.And the plot is very far-fetched, with fish hijacking trucks and flying with birds and translating fish water echoes into visual sights.Seems Dory, the star of the movie and one of the fish who saved Elmo, an animate film from many years ago that was much more believable, lost her parents and the story is about Dory's determination to find them.And Dory, come on, she's the only fish in the movie with buck teeth and why is this? Because Ellen DeGeneres, the voice of Dory, has teeth exactly like the cartoon fish and this was just so obvious. I like Ellen DeGeneres and consider she was a perfect voice for Dory, but DeGeneres has never met a promotional opportunity that she'd let pass by. Including having a fish with her voice look like her.The story has a bunch of fish helping Dory find her parents and we've got seashell trails and forgetful Dory and a silly plot that looked as if a bunch of people threw a bunch of idea confetti on the table and an absurd story was somehow concocted.Of course we have Dory stuff at McDonald's and Pixar, AKA Disney, will make money on this fluff thrown together with little care save for the merchandise and revenue.Come on producers and directors out there! You got to have a little pride when crafting an animated movie. The color and 3D of ""Finding Dory"" ain't going to cut it.This movie is best for someone five years old or less, someone who won't laugh at the silly concept of a forgetful fish."
2,Not anywhere nearly as good as Finding Nemo!,17 June 2016,"I was super disappointed in this film, given that it was rated 4.5 stars. It had way too much of Dory. I wish I had a nickel for every time she mentioned she has memory problems; I'd be stinking rich. Trust me, the bad memory shtick gets very old after a short time.If you love Dory, yes you will like the movie. But if Dory all the time is a bit much for you, you will get bored by this fast. The new whale characters just were not very interesting either. The 2 grand-kids liked Finding Dory OK, but I doubt if they would want to see it again. This is not the first time I've been disappointed in a highly-rated kids film, 5 stars just doesn't mean the quality it did in the past."
1,The worst of Pixar,18 June 2016,"For a studio that has a brilliant track record, with incredible movies like Wall-e, Finding Nemo, Toy Story, Cars, and others, Finding Dory is a complete embarrassment. It is, in fact, too bad to be considered with its prequel. There were a few scenes that did touch the heart, but overall it was more of a joke. The original film brought several new ideas that all of us liked, this one doesn't bring anything substantially new. The same Dory which was cute in the first part is too annoying in this one. Sometimes, she is just unbearable. The dialogues are mostly boring. I rarely feel like sleeping while watching a movie, this one did make me fall asleep two times very briefly. I loved the first part and I was so excited with this one too. As the movie started, I tried to make myself believe that it is not bad, but by the interval time, I felt like leaving before finishing it! I will always agree that some scenes were really good, but they were acutely insufficient to save this movie. For me, a movie that had Pixar with its name was automatically considered as a must-watch, but now, you've destroyed your name Pixar."
1,"Adoptive / Foster parents be warned, this is not for every child!",23 June 2016,"I am still a kid at heart and never miss out on a Disney or Pixar film, ever. But this one establishes two problems for children who have been adopted or are in foster care. First - Dory is, as we all know, forgetful, and that is why she was separated from her parents, thus - it is HER FAULT. Second - Dory has loving, friendly parents who are emotionally and mentally stable and have been actively looking for her for years, therefor perpetuating most adopted / fostered children's fantasies regarding their birth parents, but is most often NOT the case. This is grossly unfair to any child not anticipating this theme in the film, did Pixar forget how literal children are? So be thoughtful and take the time to see this insensitive film before taking your children. Even birth children need to have a talk with their parents about NOT making adoptive friends / classmates feel that this could be the outcome if they are adopted. Our adopted daughter years for a relationship with her birth mother, and we are actively looking for her and praying for a good end result. Many times birth parents want nothing to do with their birth children. Again, Pixar really dropped the ball on this one, for all the screaming this industry does to be sensitive to most groups of people, I guess they didn't bother to give a second thought to this particular group."
1,Boring,2 July 2016,"This had to be one of the most boring movies I have ever seen. Both my wife and I fell asleep. There was almost no humor. It was just a ridiculous ""adventure"" (if you could call it that), and it seemed to go on and on. If you are going to make an animated movie, there should be some humor in it for the adults. After all, adults are the ones PAYING for the movie.My nap was the best part of the movie. While I was awake, I had to suffer though the annoying voice of Ellen DeGeneres. The Dory character was okay in the first movie as a secondary character, but they should have never made a movie around this obnoxious character.The only good think I can say is that my 6 year old thought it was okay."
1,Boring,14 September 2016,"I did not enjoy this film at all. First of all, the title makes no sense. Dory is looking for her parents, whilst Marlin and Nemo are just chasing after her. That part is not interesting. The new characters seemed like generic movie side characters and didn't impress me. It does seem like Dory was faking her short term memory loss. The fact she was looking for her family and then first met Marlin, does not work for me. I do not recommend this film as it was disappointing and wasn't as entertaining and appealing as Finding Nemo was. I wouldn't watch it again and once again do not recommend this disappointing film. This is all just my opinion."
4,Doesn't Compare To Finding Nemo,3 July 2016,"Sometimes there are films that are untouchable and I think something like Finding Nemo was one of them. Whilst Dory was a beloved character in the film, I believe it was a stretch having her become the star of her own film in Finding Dory.The other problem with creating spin-off films (or sequels and remakes for that matter), is that you find yourself consistently comparing them to the original. This can be detrimental if the original was close to perfection. I found that the things I loved about Finding Nemo were missing from Finding Dory. One of the great things about the first movie was that the adventure was never-ending. We started with the loss of Nemo and we followed his father Marlon and his sidekick Dory on a quest to find him. Along the way, we met various characters and encountered differing scenarios that kept us on our toes. The gnarly surfer dude sea turtles, the immense field of jellyfish, the creepy creature that lured the two protagonists with a distracting shiny light dangling from the tip of his head and the group of wannabe vegetarian sharks (lead by the intimidating but friendly Bruce). Not to mention what Nemo was going through and the friends and foes he was encountering at a dental surgery in Sydney.Finding Dory didn't really have any of that. Whilst Dory did meet a few quirky friends along the way, I felt like the flow of the film was missing. Either the interactions were brief (like when she met a couple of fish who were trying to help Dory but couldn't figure her out because of her condition), or they were long and laboured (like when she met Hank the octopus and subsequently Bailey and Destiny at the Marine Life Institute). For me, it seemed like Dory was quick to move from point A to point B (from Australia to the United States) but then lingered on point B for a very long time.Visually, as was expected, the film was faultless and despite all of the above, there were still some delightful moments that made you laugh and made you cry. Unfortunately, it wasn't enough to keep me interested and instead of wanting Dory to find herself, I found myself looking at my watch and waiting for the end credits to begin rolling.motherofpopcorn.wordpress.com"
4,Utter disappointment,12 July 2016,"I don't care whether critics say it is nice or not. It may look great visually, but truth be told, there isn't much more to it than that. The lines get too repetitive, too redundant. The plot is too thin, and the characters pretty annoying. The forgetfulness that was cute in finding Nemo got to a point where it is plainly dumb and irritating here. The trick gets old, it loses its value. It is just like ""minions"". The small yellow guys were cute in despicable me, but they should not have gotten their own movies. Same here. Dory is uninteresting, and while some scenes make people feel with her, i spent most of the movie wondering when it was going to end. It is one of Pixar's worst movies."
4,below average movie,25 June 2016,"i used to be a be pixar fan, and loved classic films like Nemo and Monster. However, since Steve Jobs sold Pixar to Disney, the creativity and imagination have died with the trade. Dory is no exception, feels like a recycled Nemo but with much worse plot, worse cgi, worse pretty much everything. It is pretty hard to believe, 15 years since the original Nemo, the quality of the animation actually has become worse.The only bright spot of the movie, was the 5 minute mini movie Piper. I should pixar makes a feature length movie for that.Wall-E was the last good pixar films. all junks after that. I wish jobs has never sold pixar to Disney.I wonder what junk will pixar dish out next year... sigh..."
5,'Finding Disappointment',20 June 2016,"Like the rest of the world I waited a long thirteen years before the next chapter of the Finding Nemo saga arrived. What could go wrong? The absolute truth of it is that none of it was worth it. I know that sounds very negative but honestly, I was expecting a 'Toy Story 3' like follow up, excellence! To be fair you can never really get your hopes up too high, or else you'll always be disappointed, but even with steady expectations, the film fails. Midway through the movie I was shocked at how much I was disliking it, the original Finding Nemo is still one of Pixar's all time greats! There's a saying about sequels and how they're never as good as the original, but Finding Dory doesn't even come close, and doesn't even feel like a necessary addition to the story. It also doesn't feel much like a Pixar movie, strangely enough. First of all the all-age-groups humour is gone here and just appeals to little kids, even thought it's PIXAR! Dory's memory loss issue gets repetitive, not to mention that the film doesn't even bring you to tears at any point, not even close to them. The supporting characters here are very weak compared to the awesome Tank Gang from the original, who aren't even in this one! The only redeeming side- character is Hank the Septopous, who is pretty interesting and funny at times. I may have been a bit black and white about the whole humour aspect, the movie can be extremely funny when it wants to be, but most of the time just appealing to the younger demographic. Another thing I have to give the film major credit for is the animation, WOW, Pixar have really outdone themselves here! The overall story is a bit weak too, and the fact that the whole film takes place in the same place (A Sea Resort) gets kinda boring and even dull at times. The whole movie is in a way inexplicably bad, and just feels sort of off after you leave the cinema. It's such a bitter note, once again proving how badly a sequel can ruin the greatness of an original! As my title suggests there is nothing to be found here except some cheap jokes and decent animation. An unworthy entry for Pixar and an absolute disgrace when compared to the amazing original. I really do not recommend you see this, unless you want your love for Finding Nemo to be banished. I really was hoping for something good, I was so excited walking in and so depressed walking out. Finding Disappointment... I was..."
1,Finding entertainment,15 August 2016,"Sorry but this just didn't work.. the story line was tired to say the least. Whilst there were a few subtle pastiches to keep parents interested there weren't enough. and even my four year old got down from their seat and came over to ask me ""Is it finishing soon ? I'm bored."" My nine year old managed to keep awake throughout which is his usual way of showing his view on a film so maybe it's not all bad. But with the current cost of Cinema (movie house) tickets (£30 $40) in London I did feel somewhat disappointed. This was a Disney Pixar production was we had our anticipation set by their previous material, but this was a low point on their output. From Finding Nemo a sequel was obviously going to make an appearance. This admittedly didn't give the writers much scope for a story. But they needed to have included more comical asides within the main story and increased the pace of the second quarter."
5,Why Pixar??,17 June 2016,"Well it's been thirteen years but we finally have the movie that no one asked for, 'Finding Dory'. Following the huge success of 'Finding Nemo' it's hard to imagine that this film wasn't going to happen. Even if we all got down and begged Pixar not to, they still probably would have made this movie. So this time around, Dory is our main character. Yes, Pixar has completely made up a story to give to the side character that everyone loved so much. With in the first ten minutes Dory magically remembers that she has a family and goes on the hunt for them. Sound like the first the film? Well it is.It's exactly like the first one. Only the difference is that this one is really stupid. 'Finding Nemo' happened because Nemo was taken away from his father. Him and his father were the only survivors after some fished killed their whole family. So it made sense that Nemos dad would trek across the whole ocean to find him. The problem here is that you don't really care about what is going on at all. The story the film builds around it's characters is absolute nonsense. You mean to tell me that in the entire year that Dory was living with these guys no one bothered to ask her about her family? And that all those phrases that triggered her memory she was hearing for the first time in her life?I don't think so Pixar. As I watched this film it was apparent that this film was farted into existence. The film makers clearly just used this characters handicap to make up a pointless story. I mean they seriously could not think of any better way to tell the story then to just have her flash back like one hundred times?Not only is this incredibly lazy but it made the whole movie feel incredibly convenient. The films story is only taking place because of something that was completely random and ridiculous. Not only that, but they seriously could not have come up with anything better than just rehashing the same story? It's exactly the same story as the first just, the characters are playing slightly different roles.How on earth do the film makers think that one can be invested in this film if the first one was not only the same, but better? The first had real, relatable emotions and experiences going on. It was easy to connect with the characters and sympathize with their voyage. But this film doesn't do any of that. It just expects you to be blinded by nostalgia and love everything that is happening simply because you remember those characters.Which it does nothing new with either. There was really only one new character in the whole film that had any kind of personality. Aside from that every new thing we are introduced to is only just as a plot device. Other than that, their main purpose was to be comedy relief. Which was mainly pointed at making fun of other handicapped animals. If this film isn't subtly telling your children that you should make fun of handicapped people I don't know what is.While I certainly did not enjoy this film it isn't without its few saving graces. For starters, the voice acting is once again great. Ellen as Dory is closest thing to perfect casting I have seen. Her and the other actors involved really seemed to commit to their performances. And while the story as a whole isn't good there are a couple of great scenes in there. The scene in the kid zone is particular great. Seeing how these fish view these kids poking them and grabbing them is pretty ingenious. As a whole it is also very well paced. There was very few dull moments here. That being said, this film should not have happened. Not only is it a symbol of how far Pixar has fallen but how much they actually care about their audience. No longer do they desire to make quality pictures, no, it's all about the money now. This is very apparent thanks to how little thought was put into this movie. If you have kids, they might enjoy it. But if not, this one really is not worth your time."
4,Awful!,23 July 2016,"I love Finding Nemo so for me, this movie was a disappointment. The plot was weak and it seemed like they couldn't think of a proper way to end it. The graphics wasn't as good as last time and Dory seemed to have lost her charm. They played on her forgetting to bring forced humour. In Finding Nemo the characters were all lovable and unique but in this one they were all similar and uninteresting. After all the buildup of Dory trying to find her family, when she finally did it wasn't powerful enough. I had to roll my eyes when Dory was driving the truck with the octopus because it was so cliché. The only scenes that were good were Dory's memories of when she was a baby, she was adorable! Overall, a good movie but nowhere near Pixars' normal standards."
1,High expectations to low expectations,4 August 2016,Anticipated for this movie long time ago with high hope since I love Finding Nemo but this is such a huge disappointment. The 'short-term memory (remember-y here and there) lost' joke is getting old and at some point become annoying. Not until half way through the movie I got bored and wondered when the movie end. Couldn't laugh or at least chuckle at jokes thrown in the movie and the story seems to be put in a rush. Marlin and Nemo were also featured all the way in the movie and they were just fine. The dynamic between three of them were still there too however the adventures portrayed didn't really exciting and the thrill of the journey helping Dory on her quest finding her parents couldn't evoke emotions at all. I remembered myself laughed a lot watching Finding Nemo and at some point in tears too but not on this one. It's certainly not easy to be on par with a great movie with great visual effects and story line like Finding Nemo in the first place but at least this should have come close to it which sadly that is not the case. Definitely disappointed
5,I had high hopes,23 June 2016,"As someone who adores Finding Nemo and has waited YEARS for a sequel, I must say I am disappointed. Finding Dory definitely has a sequel feel to it. This didn't feel like a story that is worth a thirteen year wait. There are certainly cute and funny moments, but nothing solid enough to become a favorite. I've seen Finding Nemo so many times, but Dory is one I'll probably never watch again unless it's with my nephew or something. I didn't feel like this was a Pixar movie for all ages; it seemed more appropriate for younger audiences (I'm 24). As much as I hate admitting it, I couldn't wait for it to be over. Near the last quarter or so of the movie it just got redundant and all I could think was, ""Ok, this can be over any time now."" I enjoyed seeing characters from Nemo make appearances, and a couple new characters were charming, but overall it's not enough to make Dory an instant classic like Nemo. Pixar outdid themselves with the animation but you can tell this is a sequel for the sake of a sequel, not because they came up with a great storyline."
4,Can't match up to Finding Nemo,20 July 2016,"I have always liked watching children's film, animated or live- action since most of the time they are fun or well-written or both. I have no problems suspending disbelief when it comes to movies since I know that cinema is a different art form and it can be just pure entertainment and escapist fun (that has to use some unbelievable action sequences or scenes). A good film, for me, does not need to please the critics all the time or be too realistic and philosophical. I can enjoy almost all movies as long they are not pretentious and just want to tell a good story, whether in a profound way or in an entertaining way.However, I had to suspend my disbelief too many times while watching Finding Dory and the story is not compelling enough for me. I also find Dory so annoying here though I liked the octopus very much.Maybe I expected too much since I enjoyed Finding Nemo even though I also had to suspend my disbelief when watching it, but the suspension of disbelief did not make me question the plot too much. I also thought that Finding Dory would be a good sequel since I enjoyed the sequels of famous animated films like Toy Story 2, Ice Age 2, Kung Fu Panda 2. Well I thought wrong!!!!"
4,It was sad movie not Happy,25 June 2016,"Finding Nemo was a movie I dare to say worth watching more than once and I was so exited to see Finding Dory. But as we were watching it the sound of my 7 years old daughter crying confirmed my thoughts . It is not a happy Disney / Pixar movie and not suitable for many kids. My baby girl even through away her Finding Dory toy ! She said :"" why would I want it when I even don't like the movie ? "" She was so sad and scared of loosing us. Though the characters were cute specially Ed O'Neill did an amazing job with his character ""Hank"" but unfortunately the story line was rush and unorganized . Such sad scenes for a baby Dory was not a wise choice ."
1,I thought it was kay,6 July 2016,honest it has Medicare but still enjoyably i liked baby dory she was soupier cute but the plot was literal garbage and my child cried when they found dory it was so sad i mean pix er makes movies that are mindless and children can enjoy them and parents hate them so why should this movie bee any different. I liked it and id never see it again if i was forced to like seriously why is Tom henks playing an octopus hes like such &#865; horrible actor jk i love you henks ;) anyway i think that Disney really should just stop making movies because all of then suck like actually though why? They literally make me want to throw up &#865; donut. Although i did like Finding Dory. That was a stellar movie 200000/10 give it a Grammy!!!!!!!!!!!!! ;) :D XD ( ͡° ͜ʖ ͡°)
